Phone timestamp;RR-interval [ms]
2024-02-19T10:08:28.843;888
2024-02-19T10:08:29.731;898
2024-02-19T10:08:30.629;852
2024-02-19T10:08:31.481;863
2024-02-19T10:08:32.344;893
2024-02-19T10:08:33.237;858
2024-02-19T10:08:34.095;900
2024-02-19T10:08:34.995;910
2024-02-19T10:08:35.905;847
2024-02-19T10:08:36.752;849
2024-02-19T10:08:37.601;876
2024-02-19T10:08:38.477;912
2024-02-19T10:08:39.389;929
2024-02-19T10:08:40.318;898
2024-02-19T10:08:41.216;858
2024-02-19T10:08:42.074;884
2024-02-19T10:08:42.958;919
2024-02-19T10:08:43.877;932
2024-02-19T10:08:44.809;923
2024-02-19T10:08:45.732;912
2024-02-19T10:08:46.644;866
2024-02-19T10:08:47.510;901
2024-02-19T10:08:48.411;945
2024-02-19T10:08:49.356;933
2024-02-19T10:08:50.289;902
2024-02-19T10:08:51.191;872
2024-02-19T10:08:52.063;895
2024-02-19T10:08:52.958;900
2024-02-19T10:08:53.858;902
2024-02-19T10:08:54.760;892
2024-02-19T10:08:55.652;884
2024-02-19T10:08:56.536;887
2024-02-19T10:08:57.423;919
2024-02-19T10:08:58.342;864
2024-02-19T10:08:59.206;884
2024-02-19T10:09:00.090;922
2024-02-19T10:09:01.012;865
2024-02-19T10:09:01.877;838
2024-02-19T10:09:02.715;843
2024-02-19T10:09:03.558;912
2024-02-19T10:09:04.470;963
2024-02-19T10:09:05.433;923
2024-02-19T10:09:06.356;946
2024-02-19T10:09:07.302;985
2024-02-19T10:09:08.287;967
2024-02-19T10:09:09.254;916
2024-02-19T10:09:10.170;945
2024-02-19T10:09:11.115;877
2024-02-19T10:09:11.992;844
2024-02-19T10:09:12.836;871
2024-02-19T10:09:13.707;892
2024-02-19T10:09:14.599;904
2024-02-19T10:09:15.503;859
2024-02-19T10:09:16.362;897
2024-02-19T10:09:17.259;934
2024-02-19T10:09:18.193;967
2024-02-19T10:09:19.160;928
2024-02-19T10:09:20.088;904
2024-02-19T10:09:20.992;915
2024-02-19T10:09:21.907;848
2024-02-19T10:09:22.755;818
2024-02-19T10:09:23.573;804
2024-02-19T10:09:24.377;815
2024-02-19T10:09:25.192;856
2024-02-19T10:09:26.048;927
2024-02-19T10:09:26.975;948
2024-02-19T10:09:27.923;959
2024-02-19T10:09:28.882;875
2024-02-19T10:09:29.757;867
2024-02-19T10:09:30.624;901
2024-02-19T10:09:31.525;930
2024-02-19T10:09:32.455;962
2024-02-19T10:09:33.417;910
2024-02-19T10:09:34.327;948
2024-02-19T10:09:35.275;952
2024-02-19T10:09:36.227;941
2024-02-19T10:09:37.168;919
2024-02-19T10:09:38.087;881
2024-02-19T10:09:38.968;871
2024-02-19T10:09:39.839;922
2024-02-19T10:09:40.761;934
2024-02-19T10:09:41.695;982
2024-02-19T10:09:42.677;963
2024-02-19T10:09:43.640;947
2024-02-19T10:09:44.587;939
2024-02-19T10:09:45.526;934
2024-02-19T10:09:46.460;897
2024-02-19T10:09:47.357;862
2024-02-19T10:09:48.219;888
2024-02-19T10:09:49.107;915
2024-02-19T10:09:50.022;963
2024-02-19T10:09:50.985;977
2024-02-19T10:09:51.962;936
2024-02-19T10:09:52.898;888
2024-02-19T10:09:53.786;894
2024-02-19T10:09:54.680;913
2024-02-19T10:09:55.593;951
2024-02-19T10:09:56.544;980
2024-02-19T10:09:57.524;966
2024-02-19T10:09:58.490;892
2024-02-19T10:09:59.382;859
2024-02-19T10:10:00.241;869
2024-02-19T10:10:01.110;895
2024-02-19T10:10:02.005;924
2024-02-19T10:10:02.929;908
2024-02-19T10:10:03.837;874
2024-02-19T10:10:04.711;896
2024-02-19T10:10:05.607;906
2024-02-19T10:10:06.513;894
2024-02-19T10:10:07.407;851
2024-02-19T10:10:08.258;853
2024-02-19T10:10:09.111;881
2024-02-19T10:10:09.992;919
2024-02-19T10:10:10.911;916
2024-02-19T10:10:11.827;896
2024-02-19T10:10:12.723;859
2024-02-19T10:10:13.582;891
2024-02-19T10:10:14.473;908
2024-02-19T10:10:15.381;910
2024-02-19T10:10:16.291;922
2024-02-19T10:10:17.213;911
2024-02-19T10:10:18.124;863
2024-02-19T10:10:18.987;849
2024-02-19T10:10:19.836;859
2024-02-19T10:10:20.695;865
2024-02-19T10:10:21.560;886
2024-02-19T10:10:22.446;882
2024-02-19T10:10:23.328;843
2024-02-19T10:10:24.171;856
2024-02-19T10:10:25.027;874
2024-02-19T10:10:25.901;900
2024-02-19T10:10:26.801;873
2024-02-19T10:10:27.674;832
2024-02-19T10:10:28.506;818
2024-02-19T10:10:29.324;837
2024-02-19T10:10:30.161;871
2024-02-19T10:10:31.032;909
2024-02-19T10:10:31.941;929
2024-02-19T10:10:32.870;871
2024-02-19T10:10:33.741;838
2024-02-19T10:10:34.579;829
2024-02-19T10:10:35.408;860
2024-02-19T10:10:36.268;893
2024-02-19T10:10:37.161;896
2024-02-19T10:10:38.057;865
2024-02-19T10:10:38.922;822
2024-02-19T10:10:39.744;811
2024-02-19T10:10:40.555;822
2024-02-19T10:10:41.377;857
2024-02-19T10:10:42.234;871
2024-02-19T10:10:43.105;852
2024-02-19T10:10:43.957;821
2024-02-19T10:10:44.778;797
2024-02-19T10:10:45.575;777
2024-02-19T10:10:46.352;773
2024-02-19T10:10:47.125;805
2024-02-19T10:10:47.930;885
2024-02-19T10:10:48.815;933
2024-02-19T10:10:49.748;941
2024-02-19T10:10:50.689;916
2024-02-19T10:10:51.605;856
2024-02-19T10:10:52.461;838
2024-02-19T10:10:53.299;836
2024-02-19T10:10:54.135;860
2024-02-19T10:10:54.995;896
