Timestamp,Pre Epoch,Post Epoch,max HR time,Pre HRV (RMSSD),Post HRV (RMSSD),Pre HRV (SDNN),Post HRV (SDNN),max HR,Pre max HR,Pre median HR,PreHR Std dev,Ortho max HR,Post max HR,Post median HR,PostHR Std dev,HRV Pre-Post KS-Stat,HRV Pre-Post KS-pval,Flag,Condition,Ortho HR Rise Slope,Ortho HR Fall HRinf,maxHR,HR Recovery 60s,Breathing Rate,Breathing Cycle Time,Breathing Cycle Fluctuation,Mean Inhalation Time,Mean Exhalation Time,Inhalation Fraction
2024-02-23-06-56-15,601.738,283.625,631.738,34.0,16.0,105.7,50.8,98.0,70.0,55.0,5.5,98.0,81.0,71.0,4.2,0.874,0.0,,Fit,1.48,64.07,97.4,33.33,5.51,10.89,3.49,5.08,5.81,0.47
2024-02-24-07-33-00,445.607,235.783,475.607,36.0,24.5,77.8,53.0,94.0,74.0,61.0,5.0,94.0,76.0,66.0,3.9,0.442,0.0,,Recover,1.77,63.3,93.6,30.3,7.63,7.86,1.95,3.6,4.28,0.46
2024-02-28-07-55-16,426.158,145.096,456.158,26.0,9.0,53.5,32.3,100.0,74.0,64.0,3.7,100.0,84.0,78.0,3.1,0.92,0.0,,Fit,1.37,67.05,99.34,32.29,8.08,7.43,2.28,3.65,3.77,0.49
2024-03-01-06-35-08,288.382,83.88599999999997,318.382,5.0,3.0,24.3,12.0,115.0,103.0,91.0,3.4,115.0,108.0,104.0,2.1,0.95,0.0,,Fit,0.86,99.89,114.94,15.05,4.44,13.52,11.01,5.91,7.32,0.45
2024-03-02-07-22-59,452.645,175.70500000000004,482.645,16.0,5.0,83.1,26.3,98.0,89.0,68.0,6.5,98.0,95.0,85.0,3.2,0.936,0.0,,Fit,1.67,78.42,97.88,19.46,5.74,10.46,5.07,4.54,5.82,0.44
2024-03-03-07-53-15,658.6,167.58799999999997,688.6,26.0,6.0,87.6,24.9,98.0,89.0,63.0,6.6,98.0,89.0,84.0,2.9,0.934,0.0,,Fit,2.1,78.27,97.88,19.61,7.18,8.35,3.02,3.83,4.5,0.46
2024-03-17-09-09-26,403.987,52.09699999999992,433.987,22.0,7.0,90.7,33.5,106.0,85.0,65.0,6.7,106.0,92.0,85.0,4.0,0.929,0.0,,Fit,1.85,83.33,105.63,22.31,6.26,9.58,3.61,4.47,5.11,0.47
2024-04-05-06-39-52,470.656,110.76300000000003,500.656,21.0,6.0,78.0,33.0,113.0,81.0,63.0,5.4,113.0,99.0,86.0,4.3,0.996,0.0,,Fit,2.55,84.29,112.36,28.07,6.87,8.73,3.94,4.97,3.75,0.57
2024-05-30-08-07-04,322.441,73.26500000000004,352.441,28.0,11.0,92.5,40.5,103.0,79.0,62.0,6.1,103.0,88.0,79.0,4.1,0.857,0.0,,Fit,2.15,72.11,102.21,30.1,6.26,9.59,2.61,4.32,5.26,0.45
2024-06-05-07-40-42,343.276,103.122,373.276,24.0,13.0,64.2,41.5,106.0,81.0,68.0,4.9,106.0,90.0,83.0,4.6,0.863,0.0,,Fit,1.81,77.36,105.82,28.46,6.59,9.1,1.55,4.19,4.92,0.46
2024-06-08-07-10-52,297.68,125.47700000000005,327.68,30.0,19.5,99.1,52.5,101.0,79.0,61.0,6.3,101.0,79.0,71.0,4.3,0.562,0.0,,Fit,2.18,63.29,100.17,36.87,6.07,9.89,3.39,4.46,5.43,0.45
2024-06-12-07-42-51,170.064,36.700000000000045,200.064,40.5,23.0,95.9,57.3,103.0,78.0,62.0,6.4,103.0,85.0,76.0,5.3,0.645,0.0,,Fit,1.54,71.75,102.21,30.47,6.39,9.39,1.31,3.9,5.48,0.42
2024-06-16-06-15-42,182.513,118.19099999999996,212.513,34.0,18.5,95.9,46.1,95.0,72.0,56.0,5.5,95.0,78.0,70.0,3.8,0.797,0.0,,Fit,1.77,65.45,94.19,28.74,6.11,9.83,2.8,3.88,5.96,0.39
2024-06-18-06-47-57,247.398,84.25799999999998,277.398,40.0,20.0,95.4,56.1,87.0,69.0,55.0,5.2,87.0,79.0,68.0,4.4,0.792,0.0,,Fit,1.33,64.01,87.21,23.2,6.2,9.68,2.17,3.8,5.89,0.39
2024-06-19-07-26-19,192.708,105.03500000000004,222.708,26.0,16.0,87.9,54.2,100.0,70.0,58.0,5.1,100.0,83.0,72.0,4.6,0.78,0.0,,Fit,2.16,68.04,99.17,31.13,5.53,10.84,2.19,4.14,6.49,0.39
2024-06-22-07-44-01,291.298,162.87099999999998,321.298,23.0,19.5,68.1,64.4,97.0,86.0,69.0,5.6,97.0,81.0,71.0,5.2,0.146,0.005,None,Recover,1.92,65.86,96.46,30.6,6.43,9.32,2.26,3.79,5.53,0.41
